gene,source,drug
ADORA2A,GuideToPharmacology,
SLC6A2,TEND,TRAZODONE
ESR2,GuideToPharmacology,
USP2,DTC,CURCUMIN
JAK1,TTD,
IL6,TTD,CLAZAKIZUMAB
PDE4A,GuideToPharmacology,APREMILAST
TOP1,TTD,
RGS4,GuideToPharmacology,
VDR,DTC,PHANQUONE
MTOR,DTC,PAROXETINE
SCN4A,ChemblInteractions,IRAMPANEL
ATAD5,DTC,QUERCETIN
,TTD,BEMPEDOIC ACID
TACR1,TTD,
HRH3,TTD,
HTR2C,GuideToPharmacology,
DDR2,CIViC,DASATINIB
VDR,DTC,CHEMBL602763
MDM2,NCI,
SCN5A,ChemblInteractions,TOPIRAMATE
NAT1,ChemblInteractions,DESVENLAFAXINE SUCCINATE
BRPF1,GuideToPharmacology,
FLT3,DoCM,MIDOSTAURIN
CYP3A4,NCI,EPIGALOCATECHIN GALLATE
POLH,DTC,CHEMBL119878
ANKK1,PharmGKB,RISPERIDONE
CHRNA7,TEND,PRIMIDONE
NR1I3,PharmGKB,WARFARIN
KCNH2,DTC,CHLORPROMAZINE HYDROCHLORIDE
GABRG1,ChemblInteractions,SEVOFLURANE
ADK,NCI,LOMUSTINE
GMNN,DTC,NORARMEPAVINE
SRC,JAX-CKB,SARACATINIB
AGTR1,TdgClinicalTrial,TELMISARTAN
JAK2,TTD,CERDULATINIB
HPGD,DTC,PIPERINE
PIK3C2B,MyCancerGenome,VOXTALISIB
HPGD,DTC,CHEMBL166486
SCN4A,ChemblInteractions,ORPHENADRINE HYDROCHLORIDE
PGR,TEND,NORGESTREL
EHMT2,DTC,CHEMBL299853
STK11,CIViC,NIVOLUMAB
CHRM3,TEND,TIOTROPIUM
PAX8,DTC,LYNGBYABELLIN A
TUBB6,ChemblInteractions,INDIBULIN
DPP4,ChemblInteractions,SAXAGLIPTIN HYDROCHLORIDE
KDM4A,DTC,NORDIHYDROGUAIARETIC ACID
,FDA,TIPIRACIL
VDR,DTC,OBTUSAQUINONE
RARA,GuideToPharmacology,ALITRETINOIN
PIK3CG,MyCancerGenome,PILARALISIB
NR1I2,PharmGKB,BUDESONIDE
GLP1R,DTC,CHEMBL586078
POLK,DTC,NBQX
POLK,DTC,METHACYCLINE HYDROCHLORIDE
MAPT,DTC,CHEMBL528807
KCNJ1,TTD,
ABL2,TdgClinicalTrial,DASATINIB
PTEN,PharmGKB,FLUOROURACIL
,TTD,SIMEPREVIR
BRCA2,JAX-CKB,EVEROLIMUS
CYP2D6,DTC,PROPRANOLOL
SMAD3,DTC,CHEMBL1622802
HDAC5,TdgClinicalTrial,AR-42
,TTD,
GRM1,GuideToPharmacology,
GHSR,TTD,TABIMORELIN
ALDH3A1,NCI,ALCOHOL
TP53,DTC,SALMETEROL XINAFOATE
TYK2,TTD,
TXN2,DTC,BIOTINYLATED GAMBOGIC ACID
MAPT,DTC,CHEMBL582473
HDAC6,ChemblInteractions,PANOBINOSTAT LACTATE
GABRA3,TEND,CHLORDIAZEPOXIDE
FOLH1,GuideToPharmacology,
ESR1,TTD,
,TTD,
TUBB3,DTC,CURCUMIN
FGF2,TdgClinicalTrial,
MDM2,TTD,
ALDH1A1,DTC,CHEMBL1269845
UGT1A8,PharmGKB,
,TTD,
CHRM1,TEND,METHANTHELINE
GRIA2,TTD,PALIRODEN
FEN1,DTC,METHYLTHIONINIUM CHLORIDE
IGFBP3,PharmGKB,CELECOXIB
CTSG,NCI,
NR3C1,TTD,
TXNRD1,TTD,
MET,JAX-CKB,
BTC,PharmGKB,PANITUMUMAB
PPARA,ChemblInteractions,IMIGLITAZAR
ADRB2,DTC,DIENESTROL
MAOB,TdgClinicalTrial,TRANYLCYPROMINE
PTGS2,PharmGKB,
CHRNB2,TTD,CYTISINICLINE
WRN,DTC,IDARUBICIN HYDROCHLORIDE
RET,GuideToPharmacology,CABOZANTINIB
IMPDH1,TTD,
CYP3A4,DTC,ZOXAZOLAMINE
ADRB2,DTC,BUPRANOLOL
BDKRB1,GuideToPharmacology,BRADYKININ
GPER1,GuideToPharmacology,RALOXIFENE
AR,DTC,COLCHICINE
APOE,PharmGKB,
CHRND,GuideToPharmacology,
KDR,TTD,
ALDH1A1,DTC,4'-METHOXYCHALCONE
MAPT,DTC,5-BENZYLOXYTRYPTAMINE
CD274,TTD,
ADRB1,TTD,PROPRANOLOL
ITGAM,NCI,
NRAS,PharmGKB,CISPLATIN
GABRA2,TdgClinicalTrial,MEPROBAMATE
VDR,DTC,OXIDOPAMINE HYDROCHLORIDE
GALR1,GuideToPharmacology,
HDAC4,ChemblInteractions,BELINOSTAT
CLEC12A,TTD,
PIM1,GuideToPharmacology,
FEN1,DTC,CHEMBL601364
CSF1R,TTD,MCS-110
PNMT,GuideToPharmacology,
GABRB3,ChemblInteractions,THIAMYLAL SODIUM
AKT1,MyCancerGenomeClinicalTrial,PERIFOSINE
EHMT2,DTC,CHEMBL457504
ADAMTS1,PharmGKB,PRAVASTATIN
CD80,TdgClinicalTrial,
CHRM4,TEND,THIETHYLPERAZINE
TNFRSF8,NCI,
DRD1,TdgClinicalTrial,E-FLUPENTIXOL
PRL,NCI,FLUOXYMESTERONE
PPARA,TTD,
MET,ChemblInteractions,ARRY-300
CAMLG,TdgClinicalTrial,CYCLOSPORINE
FAAH,TTD,
PDE4A,TdgClinicalTrial,
MAP2K1,GuideToPharmacology,
HLA-B,PharmGKB,METHIMAZOLE
HTR1A,GuideToPharmacology,ZOTEPINE
BIRC5,TTD,
BRCA1,DTC,TIAPROFENIC ACID
FGFR2,TdgClinicalTrial,
CYP2D6,DTC,DANTROLENE
KDM4E,DTC,CHEMBL2094833
PIK3CB,NCI,
DRD1,DTC,KETANSERIN
BAZ2B,DTC,RHEIN
CCL17,NCI,
AURKB,ChemblInteractions,SNS-314
GABRA4,ChemblInteractions,THIAMYLAL SODIUM
ESR1,DTC,N-PROPYL BROMIDE
IDH1,DTC,CHEMBL598263
TYMS,NCI,
RET,JAX-CKB,ALECTINIB
GABRA6,TEND,BROMAZEPAM
HSD17B10,DTC,"3,7-DIMETHOXYFLAVONE"
HDAC2,TdgClinicalTrial,BELINOSTAT
GABRR1,TdgClinicalTrial,MIDAZOLAM
GABRA6,GuideToPharmacology,
HPGD,DTC,PAEONOL
C5,TdgClinicalTrial,ECULIZUMAB
KRAS,JAX-CKB,SALIRASIB
BCL2,TdgClinicalTrial,ISOSORBIDE
KDR,JAX-CKB,GEMCITABINE
KDR,TdgClinicalTrial,RAF-265
ALOX15,DTC,GERANIOL
MAPK1,DTC,NIFEDIPINE
PRKCA,ChemblInteractions,CEP-2563
ADRA2B,ChemblInteractions,PHENTOLAMINE MESYLATE
ATXN2,DTC,TANSHINONE I
RUNX1,DTC,ERGOCRYPTINE
CYP1A2,DTC,CHEMBL33884
YES1,DTC,GW876790X
TAT,NCI,PHENOBARBITAL
VDR,DTC,R-N-PROPYLNORAPOMORPHINE
CYP2D6,DTC,BP-897
PKM,DTC,CHEMBL56731
CYP3A4,DTC,CLEBOPRIDE MALEATE
TSHR,DTC,ISOPROTERENOL
PPARA,DTC,TETRADECYLTHIOACETIC ACID
HTR2A,TTD,
SLC22A3,PharmGKB,LAMIVUDINE
VEGFB,MyCancerGenomeClinicalTrial,
MAP4K2,DTC,CHEMBL535331
JAK3,GuideToPharmacology,
HDAC6,TTD,
,TTD,FOSAMPRENAVIR
RYR3,GuideToPharmacology,ADENOSINE TRIPHOSPHATE
MET,ChemblInteractions,SGX-523
MAP2K7,TdgClinicalTrial,WX-554
ADRA2B,TEND,ETOMIDATE
BIRC2,TALC,
EGFR,ChemblInteractions,OSIMERTINIB MESYLATE
MTNR1A,TTD,RAMELTEON
TYK2,GuideToPharmacology,
TNFRSF9,TTD,
SLC6A4,TEND,TRAZODONE
PKM,DTC,INDIRUBIN-3-MONOXIME
IRAK4,GuideToPharmacology,
POLH,DTC,METHACYCLINE HYDROCHLORIDE
ESR1,DTC,CHEMBL1523215
GABRA2,TEND,PRAZEPAM
ADRA2A,PharmGKB,EPINEPHRINE
ITGAL,ChemblInteractions,LIFITEGRAST
IMPDH1,TTD,
EHMT2,GuideToPharmacology,
OPRK1,ChemblInteractions,NALTREXONE
KDM4E,DTC,P-HYDROXYCINNAMALDEHYDE
SERPINE1,NCI,
SLC22A12,TTD,
GABRG3,TEND,OXAZEPAM
HRH1,TEND,CETIRIZINE
RORC,DTC,MERCURIC CHLORIDE
PLA2G2A,GuideToPharmacology,
EHMT2,DTC,APOMORPHINE
HRH3,TTD,
CYP2C19,DTC,ARASERTACONAZOLE
EGLN1,GuideToPharmacology,
TNFRSF4,TTD,TAVOLIMAB
HRH1,TdgClinicalTrial,LEVOCABASTINE
AGTR1,TTD,SPARSENTAN
BLK,DTC,TAE-684
KCNN4,GuideToPharmacology,
EHMT2,DTC,PROPYLENE GLYCOL MONOSTEARATE
BRS3,GuideToPharmacology,
SPHK1,GuideToPharmacology,
,NCI,
MUC16,NCI,
,TTD,MEMANTINE
OPRK1,ChemblInteractions,BUPRENORPHINE HYDROCHLORIDE
KMT2A,JAX-CKB,CYTARABINE
CA2,ChemblInteractions,ACETAZOLAMIDE
GNRHR,TTD,ABARELIX
BTK,TTD,
ERBB4,DTC,DIMETHYLCURCUMIN
MAOB,ChemblInteractions,SAFINAMIDE
TTK,GuideToPharmacology,
,TTD,
PSMC1,ChemblInteractions,BORTEZOMIB
RAB9A,DTC,ILEPCIMIDE
CDKN1A,NCI,
KMT2C,CIViC,ANASTROZOLE
ADRA1A,ChemblInteractions,PHENYLEPHRINE HYDROCHLORIDE
THRB,DTC,CHEMBL211670
NOS1,NCI,
TOP1,ClearityFoundationBiomarkers,IRINOTECAN
POLK,DTC,EVANS BLUE
POLH,DTC,DEPHOSTATIN
IL12B,ClearityFoundationClinicalTrial,
GABRG2,ChemblInteractions,ACAMPROSATE CALCIUM
NTRK1,TTD,
GRIA4,GuideToPharmacology,
ABCB1,NCI,RANITIDINE
,TTD,
AMH,NCI,TESTOSTERONE
IGF2,PharmGKB,
GP6,PharmGKB,ASPIRIN
GRM4,GuideToPharmacology,
TGFB1,NCI,
VEGFA,TTD,
L3MBTL1,DTC,STREPTONIGRIN
CYP3A4,PharmGKB,BUPRENORPHINE
ACHE,TTD,
TUBB6,ChemblInteractions,CROLIBULIN
P2RX4,GuideToPharmacology,PAROXETINE
CYP3A4,PharmGKB,ZOLPIDEM
CA9,TTD,PARABEN
GABRA5,ChemblInteractions,PENTOBARBITAL SODIUM
APEX1,TTD,
AR,DTC,CORTICOSTERONE
KDR,DTC,CYC-116
POLI,DTC,CHEMBL601757
PPARD,TdgClinicalTrial,CER-002
SCD,NCI,CLOFIBRATE
CYP2C19,DTC,SB-222200
KLK2,GuideToPharmacology,
FGFR3,DTC,SORAFENIB
NRAS,CIViC,PANITUMUMAB
CYP1A2,DTC,RANITIDINE
PROKR1,TTD,
SMAD2,DTC,BISDEMETHOXYCURCUMIN
MYC,NCI,
HTT,ChemblInteractions,AMITRIPTYLINE HYDROCHLORIDE
IL4R,GuideToPharmacology,DUPILUMAB
ACE,PharmGKB,ACETYLCHOLINE
CYP3A5,PharmGKB,ZOLPIDEM
ADRA2C,ChemblInteractions,PHENOXYBENZAMINE HYDROCHLORIDE
CDK1,TTD,
HMGCR,TTD,
MAP2K1,JAX-CKB,SELUMETINIB
MPI,DTC,CHEMBL1412489
CRHR1,PharmGKB,FLUOXETINE
FLT4,TdgClinicalTrial,TESEVATINIB
NFE2L2,NCI,DICUMAROL
TRPV1,TTD,
S1PR1,DTC,"9,10-PHENANTHRENEQUINONE"
HRH1,TEND,CINNARIZINE
APP,NCI,
EPHB3,GuideToPharmacology,
SETD2,TTD,
BCL2L1,TTD,
NR1H2,GuideToPharmacology,CHEMBL493241
APEX1,DTC,CHEMBL81782
ADRA1D,PharmGKB,DOPAMINE
PIM3,ChemblInteractions,AZD-1208
NAT1,NCI,ASPIRIN
CYP2C9,DTC,TELENZEPINE
CYP19A1,ChemblInteractions,ANASTROZOLE
KDM4E,DTC,NORFLOXACIN
RAF1,GuideToPharmacology,
TPMT,FDA,AZATHIOPRINE
FLT1,GuideToPharmacology,
KCNF1,ChemblInteractions,GUANIDINE HYDROCHLORIDE
AR,DTC,DOCUSATE SODIUM
MAPT,TTD,
CAV1,NCI,ALCOHOL
LGALS1,TTD,
TNC,ChemblInteractions,TENATUMOMAB
ADRB2,GuideToPharmacology,CARVEDILOL
HSD17B10,DTC,OLEIC ACID
RLN2,NCI,
KCNH5,ChemblInteractions,GUANIDINE HYDROCHLORIDE
TARDBP,DTC,CHEMBL597035
POLK,DTC,CHEMBL322970
P2RY2,TdgClinicalTrial,
KCNQ5,ChemblInteractions,NERISPIRDINE
FGR,GuideToPharmacology,
HTT,TTD,
CYP2D6,DTC,CYPROHEPTADINE
LIG3,PharmGKB,CYCLOPHOSPHAMIDE
TRPC6,GuideToPharmacology,
LYN,DTC,GO-6976
GRM4,GuideToPharmacology,
GSK3A,TTD,
AGTR1,NCI,VOLANESORSEN SODIUM
CSF2,NCI,PERFOSFAMIDE
GALNS,TTD,
HEBP1,TTD,
JAK2,TTD,
ERBB2,TdgClinicalTrial,CUDC-101
DRD1,TdgClinicalTrial,ASENAPINE
HSD17B10,DTC,GATIFLOXACIN
GRPR,GuideToPharmacology,
PSMB11,ChemblInteractions,IXAZOMIB CITRATE
KDR,TALC,LINIFANIB
USP1,DTC,PYRANTEL PAMOATE
ROCK2,DTC,CHEMBL2005186
PTGIR,GuideToPharmacology,
TRPV1,TdgClinicalTrial,CAPSAICIN
,TTD,X-82
,TTD,
MMP9,TALC,S-3304
DKK3,TTD,
HTT,DTC,CHEMBL585656
FLT3,GuideToPharmacology,AKN-028
MGMT,NCI,
PIK3CD,ClearityFoundationClinicalTrial,
CSF2RB,TEND,SARGRAMOSTIM
TNRC6A,PharmGKB,ALCOHOL
IDH1,DTC,FENBENDAZOLE
IDO1,TTD,
FOLH1,TEND,CAPROMAB
TNFRSF8,MyCancerGenome,BRENTUXIMAB
CHEK2,DTC,TAE-684
PSMB5,MyCancerGenome,BORTEZOMIB
CCKAR,TTD,
MYC,NCI,INDOMETHACIN
FASN,DTC,CHEMBL1255647
KDM4E,DTC,CHEMBL2094652
,TTD,ACADESINE
CNR2,GuideToPharmacology,ANANDAMIDE
ATR,NCI,CISPLATIN
DRD1,GuideToPharmacology,
KRAS,JAX-CKB,ATEZOLIZUMAB
MTNR1A,GuideToPharmacology,
ESR1,PharmGKB,FULVESTRANT
AR,DTC,DICHLON
PRKAB1,PharmGKB,METFORMIN
AR,DTC,ROTENONE
PI4KA,GuideToPharmacology,WORTMANNIN
GLRA1,GuideToPharmacology,
CA1,GuideToPharmacology,SULPIRIDE
GRIN2B,ChemblInteractions,DELUCEMINE
VEGFA,TTD,
CXCL8,DTC,CORONOPILIN
NAPEPLD,GuideToPharmacology,BITHIONOL
TOP1,DTC,TOPOTECAN
CYP1A2,DTC,SILVER SULFADIAZINE
NFKB2,TTD,
COL5A2,ChemblInteractions,OCRIPLASMIN
NOTCH1,JAX-CKB,PREDNISOLONE
MAPK11,GuideToPharmacology,TAK-715
ERCC1,PharmGKB,DOXORUBICIN
,TTD,
NCOR2,DTC,"9,10-PHENANTHRENEQUINONE"
GPR119,GuideToPharmacology,
EHMT2,DTC,N-ETHYLMALEIMIDE
CYP1A2,DTC,MONOBENZONE
PTGS1,GuideToPharmacology,
CHRM5,GuideToPharmacology,
SMAD3,DTC,BUFOGENIN
,TTD,
CYP1A2,DTC,(S)-PINACIDIL
AR,DTC,PITAVASTATIN CALCIUM
,TTD,CEFDINIR
,TTD,
XIAP,TdgClinicalTrial,
DDIT3,NCI,INDOMETHACIN
KIT,GuideToPharmacology,LINIFANIB
MAOB,TTD,SULPHADOXINE
MTOR,GuideToPharmacology,
MAPK9,TTD,
MUC1,TTD,
FANCC,CIViC,MELPHALAN
CYP2D6,DTC,CHEMBL333121
RPS6KA1,TTD,CHEMBL573107
THRB,DTC,BENZO[B]FLUORANTHENE
DNMT3B,TTD,
DRD2,TTD,
PLK1,DTC,TOSUFLOXACIN TOSYLATE
SCN10A,TTD,RILPIVIRINE
POLH,DTC,CHEMBL578512
TSPO,TdgClinicalTrial,OLESOXIME
CYP2D6,DTC,LEUCINE
KDR,ChemblInteractions,ENMD-981693
PIK3CG,NCI,ROSIGLITAZONE
METAP1D,ChemblInteractions,TOSEDOSTAT
ITGB7,TTD,
OPRM1,ChemblInteractions,LOPERAMIDE HYDROCHLORIDE
POLI,DTC,SELEGILINE HYDROCHLORIDE
DPP4,TTD,
OPRL1,DTC,CHEMBL140979
PDK1,TTD,
PPARD,DTC,DIFENOCONAZOLE
ALDH1A1,DTC,METHYL ROBUSTONE
GMNN,DTC,DICHLORVOS
TLR5,TTD,ENTOLIMOD
MTOR,DTC,PIMOZIDE
MELK,TTD,
PAX5,NCI,
WRN,DTC,STICTIC ACID
KCNJ1,TdgClinicalTrial,TOLAZAMIDE
OPRM1,ChemblInteractions,CEBRANOPADOL
SCN8A,ChemblInteractions,DRONEDARONE HYDROCHLORIDE
CYP2D6,FDA,GALANTAMINE
AR,DTC,FLUOXASTROBIN
NOS3,TTD,RONOPTERIN
ABCC8,TTD,GLIMEPIRIDE
,TTD,
PLA2G4A,PharmGKB,
KDM4E,DTC,CHEMBL242171
BACE1,GuideToPharmacology,
VWF,NCI,VINCRISTINE
PLK1,DTC,EBSELEN
ABL1,CIViC,
TEK,GuideToPharmacology,
EGFR,FDA,ERLOTINIB
MTOR,TdgClinicalTrial,SIROLIMUS
GNRHR2,TdgClinicalTrial,HISTRELIN
CSNK1A1,DTC,SB-242235
IRAK4,TTD,
GABRA1,GuideToPharmacology,TRIAZOLAM
GRIN1,ChemblInteractions,LANICEMINE
PDPK1,DTC,SP-600125
HSD17B10,DTC,L-765314
HSPA8,NCI,DEXAMETHASONE
ATAD5,DTC,CHEMBL578294
TPO,NCI,
RELA,DTC,RESVERATROL
SULT2A1,NCI,METHOTREXATE
TUBB3,ChemblInteractions,LEXIBULIN
BRCA1,JAX-CKB,2X-121
CA2,TTD,
KMO,TTD,
NTRK3,ChemblInteractions,LESTAURTINIB
DRD2,ChemblInteractions,APLINDORE FUMARATE
ABCB1,PharmGKB,DOMPERIDONE
MTOR,DTC,FENRETINIDE
KDM4E,DTC,CHEMBL590927
AR,DTC,PROPICONAZOLE
YES1,DTC,CHEMBL1077979
USP1,DTC,ERGOCRYPTINE
,TTD,
TNF,TTD,ADALIMUMAB
PTGS2,TdgClinicalTrial,SUPROFEN
CSF2RA,TTD,MOLGRAMOSTIM
ADRB1,TdgClinicalTrial,METIPRANOLOL
PIK3R5,ChemblInteractions,PICTILISIB
CTSD,GuideToPharmacology,
DRD2,TdgClinicalTrial,RISPERIDONE
HSPB1,DTC,OMEPRAZOLE
NR3C1,GuideToPharmacology,PREDNISOLONE
TP53,JAX-CKB,CAPIVASERTIB
EZH2,TTD,TAZEMETOSTAT
DRD1,GuideToPharmacology,SEROTONIN
,MyCancerGenomeClinicalTrial,
REN,TTD,
IL2RA,NCI,
GRIN2A,TEND,FELBAMATE
ATXN2,DTC,CHEMBL1519374
CES1,PharmGKB,IRINOTECAN
CYP1A2,PharmGKB,FLUVOXAMINE
IDO2,TTD,
NR1I3,DTC,PHENOBARBITAL
ALK,MyCancerGenomeClinicalTrial,CHEMBL3397300
SCN9A,ChemblInteractions,QUINIDINE GLUCONATE
OPRM1,ChemblInteractions,ANILERIDINE PHOSPHATE
PIK3CB,GuideToPharmacology,PUQUITINIB
,MyCancerGenomeClinicalTrial,PACLITAXEL
GABRG1,ChemblInteractions,ESTAZOLAM
IGF1R,TTD,ISTIRATUMAB
PDE3A,TTD,ANAGRELIDE
CNR1,TTD,
DRD5,TEND,CARPHENAZINE
PPARG,GuideToPharmacology,GSK-9578
ABL1,ChemblInteractions,BOSUTINIB
ESR1,TdgClinicalTrial,LASOFOXIFENE
BCHE,TdgClinicalTrial,RIVASTIGMINE
KCNJ1,TTD,
IL2,NCI,METOCLOPRAMIDE
DLL4,TdgClinicalTrial,DEMCIZUMAB
CNR1,TTD,
CCR4,GuideToPharmacology,
SCN7A,ChemblInteractions,INDECAINIDE HYDROCHLORIDE
EHMT2,DTC,TRANSTORINE
BRD4,TTD,MOLIBRESIB
,TTD,PIMODIVIR
IDH1,DTC,COLCHICEINE
CAMK2G,DTC,LY-2090314
CYP2A6,PharmGKB,ESOMEPRAZOLE
CYP3A4,DTC,FENDILINE HYDROCHLORIDE
CHRM4,GuideToPharmacology,
NDUFS3,ChemblInteractions,METFORMIN HYDROCHLORIDE
MTOR,ChemblInteractions,SAPANISERTIB
EGFR,CIViC,ATEZOLIZUMAB
HSD17B10,DTC,DIMETHYLPINOCEMBRIN
FFAR1,GuideToPharmacology,GW9508
ALDH1A1,DTC,JUGLONE
EP300,DTC,CHEMBL1797708
F10,DTC,RIVAROXABAN
DPYD,NCI,FLUOROURACIL
GABRA3,ChemblInteractions,TOPIRAMATE
EHMT2,DTC,OMEPRAZOLE MAGNESIUM
CYP2D6,DTC,CHEMBL1096339
,TTD,LULICONAZOLE
GABRA6,ChemblInteractions,SEVOFLURANE
GDF15,NCI,ETOPOSIDE
RGS4,DTC,AURINTRICARBOXYLIC ACID
,ClearityFoundationClinicalTrial,BUPARLISIB
CASP7,DTC,CHEMBL578512
MS4A1,TdgClinicalTrial,TOSITUMOMAB
PIK3CA,CIViC,PERIFOSINE
CNR2,GuideToPharmacology,
HSP90AA1,TdgClinicalTrial,CHEMBL553939
CHRNA7,TTD,GTS-21
LPIN1,PharmGKB,ROSIGLITAZONE
BAZ2B,DTC,CARVEDILOL
CYP3A4,DTC,FENRETINIDE
CHRM5,GuideToPharmacology,PIRENZEPINE
MPI,DTC,CHEMBL522983
NDUFC1,ChemblInteractions,NV-128
RARA,GuideToPharmacology,
KDM4A,DTC,TAMOXIFEN
SRI,NCI,COLCHICINE
CYP1A2,DTC,CHEMBL533542
RXFP4,GuideToPharmacology,
CCR5,TTD,MARAVIROC
BDNF,NCI,IONOMYCIN
GPR55,GuideToPharmacology,
KCNH2,DTC,CHEMBL590947
CHRM2,TEND,MIVACURIUM
TRPA1,GuideToPharmacology,
IL17F,NCI,
ACE,PharmGKB,FLUOXETINE
TP53,DTC,CHEMBL201325
ABAT,TdgClinicalTrial,
AKAP13,PharmGKB,HALOPERIDOL
KRAS,CIViC,METFORMIN
CDK5,TTD,
NOTCH3,MyCancerGenome,
BAZ2B,DTC,CHEMBL1310138
LYVE1,TTD,
CYP3A4,DTC,CHEMBL309917
CNR2,TTD,
CYP24A1,DTC,CALCITRIOL
TP53,DTC,FENOFIBRATE
CYP2D6,DTC,CHEMBL530733
HCRTR1,TdgClinicalTrial,ALMOREXANT
ADRB3,TTD,CHEMBL322862
NPY2R,DTC,N6-PHENYLADENOSINE
CFTR,GuideToPharmacology,
FEN1,DTC,CHEMBL589915
ROS1,OncoKB,CRIZOTINIB
GUCY2C,TdgClinicalTrial,PLECANATIDE
KCNH2,DTC,METERGOLINE
TBXA2R,TTD,
NR1H3,DTC,RICCARDI C
ADRB1,GuideToPharmacology,
RGS4,DTC,NORDIHYDROGUAIARETIC ACID
HPGD,DTC,CHEMBL395915
HTR6,TTD,
HTR1A,GuideToPharmacology,VORTIOXETINE
MCOLN3,DTC,CHEMBL584031
PTEN,CIViC,VEMURAFENIB
BRAF,GuideToPharmacology,
SGSM3,TTD,DEMECOLCINE
KCNH2,TTD,
KDR,GuideToPharmacology,
CCR5,ChemblInteractions,APLAVIROC HYDROCHLORIDE
HTR1A,GuideToPharmacology,
CACNA1C,TEND,NICARDIPINE
HEBP1,TTD,
,TTD,CETHROMYCIN
CAMKK2,DTC,JNJ-7706621
SELE,TTD,
DRD3,TTD,
CDK4,GuideToPharmacology,BMS-387032
KCNN4,GuideToPharmacology,CHLORZOXAZONE
PTGS2,GuideToPharmacology,CARPROFEN
PDE4B,TdgClinicalTrial,
RET,TTD,
ADRA1B,GuideToPharmacology,SPIROXATRINE
APC,CIViC,
AKT1,DTC,NINTEDANIB
PLD1,DTC,AFIMOXIFENE
PIK3CD,GuideToPharmacology,
PSMB7,DTC,BORTEZOMIB
CYP1A2,DTC,CHEMBL187216
MET,GuideToPharmacology,SAVOLITINIB
HSD17B10,DTC,METHYL ANTHRANILATE
ATAD5,DTC,MIBEFRADIL
SCN10A,TTD,ROPIVACAINE
GC,PharmGKB,BEVACIZUMAB
NR3C1,TdgClinicalTrial,AMCINONIDE
NR1I2,PharmGKB,TROGLITAZONE
ADRB3,GuideToPharmacology,
ENO2,NCI,FLOXURIDINE
MAPT,DTC,CHEMBL606167
NFE2L2,DTC,CLORGYLINE HYDROCHLORIDE
GLS,DTC,ELLAGIC ACID
STAT3,TTD,
TDP1,DTC,SURAMIN HEXASODIUM
,TTD,
UBE2N,DTC,IMIDOCARB DIPROPIONATE
TP53,JAX-CKB,SAPANISERTIB
AR,DTC,SULFACARBAMIDE
CYP3A4,PharmGKB,DOXEPIN
GALR3,DTC,ETILEFRINE
CNR1,TTD,
HLA-B,FDA,ABACAVIR
BRAF,JAX-CKB,SELUMETINIB
KIR2DL3,TTD,
AURKB,GuideToPharmacology,
SMAD3,DTC,CALCIMYCIN
KDM4A,DTC,PHOSPHOMETHYLPHOSPHONIC ACID ADENOSYL ESTER
CYP2B6,PharmGKB,STAVUDINE
NR3C1,TdgClinicalTrial,MEDRYSONE
CNR1,TTD,
KCNH2,DTC,CHEMBL578294
EGFR,ChemblInteractions,NERATINIB
HIF1A,DTC,OXYTETRACYCLINE
EDNRA,GuideToPharmacology,SPARSENTAN
,TTD,CGC-11047
HSD17B10,DTC,SANGUINARIUM
KDR,ChemblInteractions,LINIFANIB
PTK2,TTD,VS-4718
EHMT2,DTC,VANITIOLIDE
SLC18A2,TdgClinicalTrial,RESERPINE
ABL1,DoCM,DASATINIB
KDM4E,DTC,EPIGALOCATECHIN GALLATE
SCNN1D,TdgClinicalTrial,
POLI,DTC,CHALCONE
PDGFRB,DTC,CHEMBL406845
SSTR2,GuideToPharmacology,
KRAS,OncoKB,BINIMETINIB
NDUFS2,ChemblInteractions,METFORMIN HYDROCHLORIDE
HSD17B10,DTC,CHEMBL275311
CFTR,NCI,
YES1,DTC,SGI-1776
GLP1R,TdgClinicalTrial,
PTK2B,GuideToPharmacology,
PDCD1,TTD,NIVOLUMAB
PDE9A,ChemblInteractions,DIPYRIDAMOLE
SCN1A,ChemblInteractions,PHENAZOPYRIDINE HYDROCHLORIDE
DNER,TTD,
HTR2A,GuideToPharmacology,CYAMEMAZINE
POLB,DTC,3-O-METHYLQUERCETIN
CNR2,GuideToPharmacology,
CYP3A4,NCI,IXABEPILONE
GRIA1,TdgClinicalTrial,SELURAMPANEL
IL13,TdgClinicalTrial,TNX-650
ADRA1B,TTD,METHOXAMINE
DRD1,TEND,THIETHYLPERAZINE
PTGES,TTD,
RASA1,CIViC,TRAMETINIB
PIK3CA,GuideToPharmacology,BIMIRALISIB
GABRA4,GuideToPharmacology,PICROTOXIN
PCNA,NCI,CAPSAICIN
ATP4A,TTD,PANTOPRAZOLE
CCL22,NCI,
MAPK1,DTC,MADOLIN A
GMNN,DTC,NORDIHYDROGUAIARETIC ACID
,TTD,
PTEN,JAX-CKB,UPROSERTIB
HSPA4,NCI,WORTMANNIN
NLRP1,DTC,PERHEXILINE MALEATE
IFNA5,TTD,
CAST,NCI,
HPGD,DTC,NORSTICTIC ACID
PSEN1,GuideToPharmacology,
CYP3A4,DTC,RU-24969
KCNH2,GuideToPharmacology,
KCNJ1,TTD,
,TTD,
IFNAR2,TTD,
AGTR1,TTD,
CSF2RA,TTD,
CHRM1,TTD,
PTEN,JAX-CKB,
G6PD,NCI,NIMESULIDE
